36.5	-103
36.5	-102.5
36.5	-102
36.5	-101.5
36.5	-101
36.5	-100.5
36.5	-100
36	-100
35.5	-100
35	-100
34.5	-100
34.5	-99.5
34	-99
34	-98.5
34	-98
34	-97.5
34	-97
34	-96.5
34	-96
34	-95.5
34	-95
33.5	-94.5
33.5	-94
33	-94
32.5	-94
32	-94
31.5	-93.5
31	-93.5
30.5	-93.5
30	-93.5
29.5	-94
29.5	-94.5
29.5	-95
29	-95
29	-95.5
28.5	-96
28.5	-96.5
28	-97
27.5	-97.5
27	-97.5
26.5	-97.5
26	-97.5
26	-98
26	-98.5
26.5	-99
27	-99.5
27.5	-99.5
28	-100
28.5	-100.5
29	-100.5
29.5	-101
30	-101.5
30	-102
30	-102.5
29.5	-103
29	-103
29	-103.5
29.5	-104
29.5	-104.5
30	-104.5
30.5	-105
31	-105.5
31.5	-106
32	-106.5
32	-106
32	-105.5
32	-105
32	-104.5
32	-104
32	-103.5
32	-103
32.5	-103
33	-103
33.5	-103
34	-103
34.5	-103
35	-103
35.5	-103
36	-103
